'NLA.MI23.witness_GH_entry' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_normalized_inner' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessT_eighth_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witnessT_seven_eighths' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_mean_eighth' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_mean_seven_eighths' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_left_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_right_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.positive_powers_and_means' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.product_eigenvalue_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.squared_product_largest' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.operator_norm_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_data' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.witness_squared_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MI23.not_generalizedGeometricMeanConjecture' depends on axioms: [propext, Classical.choice, Quot.sound]
